FlightDate,Airline,Origin,Dest,CRSDepTime,Distance,Year,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DCD
2021-10-08,United Air Lines Inc.,ORD,CID,1935,196.0,2021,10,8,5,UA,UA,19977,UA,1601,UA,19977,UA,N13750,1601,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,11003,1100303,31003,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61,False
2021-04-14,Southwest Airlines Co.,LAX,SFO,1000,337.0,2021,4,14,3,WN,WN,19393,WN,3119,WN,19393,WN,N947WN,3119,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,False
2021-03-08,Comair Inc.,ROC,CLT,1723,573.0,2021,3,8,1,AA,AA_CODESHARE,19805,AA,5497,OH,20397,OH,N573NN,5497,14576,1457606,34576,"Rochester, NY",NY,36,New York,22,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,False
2021-12-29,Comair Inc.,CLT,MCI,1000,808.0,2021,12,29,3,AA,AA_CODESHARE,19805,AA,5235,OH,20397,OH,N594NN,5235,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,13198,1319801,33198,"Kansas City, MO",MO,29,Missouri,64,False
2019-04-25,United Air Lines Inc.,ORD,EWR,600,719.0,2019,4,25,4,UA,UA,19977,UA,636,UA,19977,UA,N38424,636,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,False
2020-12-17,SkyWest Airlines Inc.,BUR,SLC,1325,574.0,2020,12,17,4,DL,DL_CODESHARE,19790,DL,3758,OO,20304,OO,N243SY,3758,10800,1080003,32575,"Burbank, CA",CA,6,California,91,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,False
2021-02-02,American Airlines Inc.,SJC,DFW,1346,1438.0,2021,2,2,2,AA,AA,19805,AA,1916,AA,19805,AA,N995AN,1916,14831,1483106,32457,"San Jose, CA",CA,6,California,91,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,False
2019-01-31,Horizon Air,SEA,PDX,1915,129.0,2019,1,31,4,AS,AS_CODESHARE,19930,AS,2162,QX,19687,QX,N428QX,2162,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,False
2021-11-29,American Airlines Inc.,TPA,CLT,603,507.0,2021,11,29,1,AA,AA,19805,AA,2020,AA,19805,AA,N581UW,2020,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,False
2019-06-21,Delta Air Lines Inc.,CVG,FLL,950,932.0,2019,6,21,5,DL,DL,19790,DL,2733,DL,19790,DL,N3769L,2733,11193,1119302,33105,"Cincinnati, OH",KY,21,Kentucky,52,11697,1169706,32467,"Fort Lauderdale, FL",FL,12,Florida,33,False
2019-12-01,Compass Airlines,SNA,SEA,1855,978.0,2019,12,1,7,DL,DL_CODESHARE,19790,DL,5778,CP,21167,CP,N638CZ,5778,14908,1490803,32575,"Santa Ana, CA",CA,6,California,91,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,False
2020-01-31,Southwest Airlines Co.,STL,DSM,1110,259.0,2020,1,31,5,WN,WN,19393,WN,944,WN,19393,WN,N257WN,944,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,11423,1142307,31423,"Des Moines, IA",IA,19,Iowa,61,False
2019-09-07,Alaska Airlines Inc.,SMF,KOA,1145,2435.0,2019,9,7,6,AS,AS,19930,AS,883,AS,19930,AS,N535AS,883,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,12758,1275804,32758,"Kona, HI",HI,15,Hawaii,2,False
2020-10-17,Delta Air Lines Inc.,ATL,CHS,1824,259.0,2020,10,17,6,DL,DL,19790,DL,1725,DL,19790,DL,N775DE,1725,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10994,1099402,30994,"Charleston, SC",SC,45,South Carolina,37,False
2020-03-19,Capital Cargo International,GSO,CLT,934,83.0,2020,3,19,4,AA,AA_CODESHARE,19805,AA,4978,PT,20427,PT,N625AE,4978,11995,1199502,31995,"Greensboro/High Point, NC",NC,37,North Carolina,36,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,False
2020-09-27,SkyWest Airlines Inc.,FWA,ORD,722,157.0,2020,9,27,7,AA,AA_CODESHARE,19805,AA,3260,OO,20304,OO,N732SK,3260,11823,1182304,31823,"Fort Wayne, IN",IN,18,Indiana,42,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,False
2019-04-14,Southwest Airlines Co.,AUS,ATL,1735,813.0,2019,4,14,7,WN,WN,19393,WN,4573,WN,19393,WN,N8619F,4573,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,False
2021-04-24,SkyWest Airlines Inc.,PHX,PSP,1734,261.0,2021,4,24,6,AA,AA_CODESHARE,19805,AA,3113,OO,20304,OO,N770SK,3113,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,False
2019-05-31,Delta Air Lines Inc.,ATL,BHM,2001,134.0,2019,5,31,5,DL,DL,19790,DL,1064,DL,19790,DL,N979DL,1064,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10599,1059904,30599,"Birmingham, AL",AL,1,Alabama,51,True
2021-05-02,Envoy Air,DFW,CID,1940,685.0,2021,5,2,7,AA,AA_CODESHARE,19805,AA,4135,MQ,20398,MQ,N222NS,4135,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,11003,1100303,31003,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61,False
2019-02-20,American Airlines Inc.,DFW,DCA,2013,1192.0,2019,2,20,3,AA,AA,19805,AA,2222,AA,19805,AA,N896NN,2222,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,True
2020-06-24,Alaska Airlines Inc.,SEA,DEN,1625,1024.0,2020,6,24,3,AS,AS,19930,AS,1476,AS,19930,AS,N593AS,1476,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,True
2021-08-11,Alaska Airlines Inc.,ANC,OGG,1725,2797.0,2021,8,11,3,AS,AS,19930,AS,824,AS,19930,AS,N557AS,824,10299,1029906,30299,"Anchorage, AK",AK,2,Alaska,1,13830,1383002,33830,"Kahului, HI",HI,15,Hawaii,2,False
2021-04-16,JetBlue Airways,LAX,MIA,2350,2342.0,2021,4,16,5,B6,B6,20409,B6,2985,B6,20409,B6,N967JT,2985,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,13303,1330303,32467,"Miami, FL",FL,12,Florida,33,False
2020-06-24,Southwest Airlines Co.,IAD,DEN,1345,1452.0,2020,6,24,3,WN,WN,19393,WN,1183,WN,19393,WN,N948WN,1183,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,False
2021-12-21,JetBlue Airways,JFK,MCO,1730,944.0,2021,12,21,2,B6,B6,20409,B6,283,B6,20409,B6,N2043J,283,12478,1247805,31703,"New York, NY",NY,36,New York,22,13204,1320402,31454,"Orlando, FL",FL,12,Florida,33,True
2019-05-04,Southwest Airlines Co.,ATL,DCA,1305,547.0,2019,5,4,6,WN,WN,19393,WN,4240,WN,19393,WN,N919WN,4240,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,True
2021-07-02,American Airlines Inc.,SAN,DFW,617,1171.0,2021,7,2,5,AA,AA,19805,AA,2535,AA,19805,AA,N136AN,2535,14679,1467903,33570,"San Diego, CA",CA,6,California,91,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,True
2020-12-30,JetBlue Airways,SJU,JFK,159,1598.0,2020,12,30,3,B6,B6,20409,B6,1904,B6,20409,B6,N913JB,1904,14843,1484306,34819,"San Juan, PR",PR,72,Puerto Rico,3,12478,1247805,31703,"New York, NY",NY,36,New York,22,False
2019-05-18,Southwest Airlines Co.,DAL,LAX,745,1246.0,2019,5,18,6,WN,WN,19393,WN,3508,WN,19393,WN,N8305E,3508,11259,1125904,30194,"Dallas, TX",TX,48,Texas,74,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,False
2021-10-18,Envoy Air,BNA,ORD,1519,409.0,2021,10,18,1,AA,AA_CODESHARE,19805,AA,4028,MQ,20398,MQ,N229NN,4028,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,False
2020-08-29,Mesa Airlines Inc.,LGB,PHX,1357,355.0,2020,8,29,6,AA,AA_CODESHARE,19805,AA,5736,YV,20378,YV,N907FJ,5736,12954,1295407,32575,"Long Beach, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,False
2019-09-26,SkyWest Airlines Inc.,ORD,BNA,1210,409.0,2019,9,26,4,AA,AA_CODESHARE,19805,AA,3221,OO,20304,OO,N722EV,3221,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,False
2020-03-14,Endeavor Air Inc.,DTW,CWA,2015,363.0,2020,3,14,6,DL,DL_CODESHARE,19790,DL,4757,9E,20363,9E,N8918B,4757,11433,1143302,31295,"Detroit, MI",MI,26,Michigan,43,11203,1120302,30424,"Mosinee, WI",WI,55,Wisconsin,45,False
2020-03-05,SkyWest Airlines Inc.,SBP,DFW,605,1360.0,2020,3,5,4,AA,AA_CODESHARE,19805,AA,3013,OO,20304,OO,N728SK,3013,14698,1469802,34236,"San Luis Obispo, CA",CA,6,California,91,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,False
2019-06-17,American Airlines Inc.,MCO,PHL,919,861.0,2019,6,17,1,AA,AA,19805,AA,1899,AA,19805,AA,N150UW,1899,13204,1320402,31454,"Orlando, FL",FL,12,Florida,33,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,False
2020-07-12,JetBlue Airways,BOS,DCA,1450,399.0,2020,7,12,7,B6,B6,20409,B6,289,B6,20409,B6,N507JT,289,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,False
2021-03-10,American Airlines Inc.,LAS,MIA,130,2174.0,2021,3,10,3,AA,AA,19805,AA,1779,AA,19805,AA,N123NN,1779,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,13303,1330303,32467,"Miami, FL",FL,12,Florida,33,False
2021-07-30,SkyWest Airlines Inc.,SMF,LAX,752,373.0,2021,7,30,5,AA,AA_CODESHARE,19805,AA,3035,OO,20304,OO,N631SK,3035,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,False
2020-08-24,Delta Air Lines Inc.,ATL,STL,2210,484.0,2020,8,24,1,DL,DL,19790,DL,2451,DL,19790,DL,N326DN,2451,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,False
2020-07-25,American Airlines Inc.,AUS,DFW,838,190.0,2020,7,25,6,AA,AA,19805,AA,2858,AA,19805,AA,N978AN,2858,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,False
2020-03-13,SkyWest Airlines Inc.,SMF,SAN,1730,480.0,2020,3,13,5,AS,AS_CODESHARE,19930,AS,3342,OO,20304,OO,N189SY,3342,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,14679,1467903,33570,"San Diego, CA",CA,6,California,91,False
2020-07-15,JetBlue Airways,JFK,TPA,730,1005.0,2020,7,15,3,B6,B6,20409,B6,225,B6,20409,B6,N630JB,225,12478,1247805,31703,"New York, NY",NY,36,New York,22,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,False
2019-07-14,Comair Inc.,CLT,RIC,730,257.0,2019,7,14,7,AA,AA_CODESHARE,19805,AA,5296,OH,20397,OH,N580NN,5296,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,14524,1452401,34524,"Richmond, VA",VA,51,Virginia,38,False
2019-09-19,Alaska Airlines Inc.,SFO,SEA,1610,679.0,2019,9,19,4,AS,AS,19930,AS,357,AS,19930,AS,N238AK,357,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,False
2020-03-04,Envoy Air,ORD,BWI,1245,621.0,2020,3,4,3,AA,AA_CODESHARE,19805,AA,3990,MQ,20398,MQ,N222NS,3990,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,False
2021-09-07,Southwest Airlines Co.,CHS,BNA,1920,439.0,2021,9,7,2,WN,WN,19393,WN,4403,WN,19393,WN,N482WN,4403,10994,1099402,30994,"Charleston, SC",SC,45,South Carolina,37,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,False
2019-09-18,Alaska Airlines Inc.,LAX,JFK,715,2475.0,2019,9,18,3,AS,AS,19930,AS,410,AS,19930,AS,N563AS,410,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,12478,1247805,31703,"New York, NY",NY,36,New York,22,False
2021-10-13,Southwest Airlines Co.,SAN,MDW,1140,1728.0,2021,10,13,3,WN,WN,19393,WN,1726,WN,19393,WN,N8803L,1726,14679,1467903,33570,"San Diego, CA",CA,6,California,91,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,True
2019-03-16,Alaska Airlines Inc.,IAH,SEA,600,1874.0,2019,3,16,6,AS,AS,19930,AS,347,AS,19930,AS,N293AK,347,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,False
2021-12-05,SkyWest Airlines Inc.,LAX,RNO,819,391.0,2021,12,5,7,UA,UA_CODESHARE,19977,UA,5252,OO,20304,OO,N903EV,5252,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14570,1457002,34570,"Reno, NV",NV,32,Nevada,85,False
2019-03-12,Frontier Airlines Inc.,TTN,MCO,952,896.0,2019,3,12,2,F9,F9,20436,F9,803,F9,20436,F9,N339FR,803,15356,1535602,35356,"Trenton, NJ",NJ,34,New Jersey,21,13204,1320402,31454,"Orlando, FL",FL,12,Florida,33,False
2020-01-27,United Air Lines Inc.,SNA,IAH,1213,1346.0,2020,1,27,1,UA,UA,19977,UA,1492,UA,19977,UA,N73276,1492,14908,1490803,32575,"Santa Ana, CA",CA,6,California,91,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,False
2019-05-08,ExpressJet Airlines Inc.,EWR,GSP,2015,594.0,2019,5,8,3,UA,UA_CODESHARE,19977,UA,3971,EV,20366,EV,N17159,3971,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,11996,1199603,31871,"Greer, SC",SC,45,South Carolina,37,True
2019-05-19,"Commutair Aka Champlain Enterprises, Inc.",IAD,ELM,1730,224.0,2019,5,19,7,UA,UA_CODESHARE,19977,UA,4978,C5,20445,C5,N16147,4978,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,11537,1153705,31537,"Elmira/Corning, NY",NY,36,New York,22,True
2019-03-17,Delta Air Lines Inc.,JFK,LAX,1140,2475.0,2019,3,17,7,DL,DL,19790,DL,1762,DL,19790,DL,N704X,1762,12478,1247805,31703,"New York, NY",NY,36,New York,22,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,True
2019-04-02,American Airlines Inc.,PVD,PHL,1824,237.0,2019,4,2,2,AA,AA,19805,AA,869,AA,19805,AA,N708UW,869,14307,1430705,30721,"Providence, RI",RI,44,Rhode Island,15,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,False
2021-04-02,"GoJet Airlines, LLC d/b/a United Express",ORD,OMA,1415,416.0,2021,4,2,5,UA,UA_CODESHARE,19977,UA,4529,G7,20500,G7,N535GJ,4529,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,13871,1387102,33316,"Omaha, NE",NE,31,Nebraska,65,False
2021-04-16,Southwest Airlines Co.,BWI,SJU,1625,1565.0,2021,4,16,5,WN,WN,19393,WN,455,WN,19393,WN,N7734H,455,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,14843,1484306,34819,"San Juan, PR",PR,72,Puerto Rico,3,False
2020-08-24,SkyWest Airlines Inc.,WYS,SLC,1613,273.0,2020,8,24,1,DL,DL_CODESHARE,19790,DL,4320,OO,20304,OO,N923EV,4320,15897,1589702,35897,"West Yellowstone, MT",MT,30,Montana,84,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,False
2021-01-18,Southwest Airlines Co.,HRL,HOU,1535,277.0,2021,1,18,1,WN,WN,19393,WN,5001,WN,19393,WN,N209WN,5001,12206,1220605,32206,"Harlingen/San Benito, TX",TX,48,Texas,74,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,False
2019-05-14,Endeavor Air Inc.,JFK,SYR,1659,209.0,2019,5,14,2,DL,DL_CODESHARE,19790,DL,5157,9E,20363,9E,N832AY,5157,12478,1247805,31703,"New York, NY",NY,36,New York,22,15096,1509602,35096,"Syracuse, NY",NY,36,New York,22,False
2019-08-30,SkyWest Airlines Inc.,ORD,OKC,1030,693.0,2019,8,30,5,AA,AA_CODESHARE,19805,AA,3272,OO,20304,OO,N748EV,3272,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,False
2021-07-25,Allegiant Air,ATW,PGD,938,1250.0,2021,7,25,7,G4,G4,20368,G4,1501,G4,20368,G4,295NV,1501,10408,1040805,30408,"Appleton, WI",WI,55,Wisconsin,45,14082,1408202,34082,"Punta Gorda, FL",FL,12,Florida,33,True
2019-02-26,JetBlue Airways,PBI,BOS,1442,1197.0,2019,2,26,2,B6,B6,20409,B6,2422,B6,20409,B6,N238JB,2422,14027,1402702,34027,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,True
2021-03-28,Spirit Air Lines,CLE,TPA,1817,927.0,2021,3,28,7,NK,NK,20416,NK,177,NK,20416,NK,N656NK,177,11042,1104205,30647,"Cleveland, OH",OH,39,Ohio,44,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,True
2021-01-13,Delta Air Lines Inc.,ATL,MLB,2220,442.0,2021,1,13,3,DL,DL,19790,DL,1592,DL,19790,DL,N927AT,1592,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,13360,1336003,33360,"Melbourne, FL",FL,12,Florida,33,False
2021-01-23,American Airlines Inc.,CLT,LAS,915,1916.0,2021,1,23,6,AA,AA,19805,AA,1484,AA,19805,AA,N580UW,1484,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,False
2019-06-20,Endeavor Air Inc.,BUF,JFK,1858,301.0,2019,6,20,4,DL,DL_CODESHARE,19790,DL,5095,9E,20363,9E,N903XJ,5095,10792,1079206,30792,"Buffalo, NY",NY,36,New York,22,12478,1247805,31703,"New York, NY",NY,36,New York,22,True
2021-11-12,Southwest Airlines Co.,LGA,DEN,1225,1620.0,2021,11,12,5,WN,WN,19393,WN,4378,WN,19393,WN,N408WN,4378,12953,1295304,31703,"New York, NY",NY,36,New York,22,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,False
2019-11-04,SkyWest Airlines Inc.,IAH,HOB,1420,501.0,2019,11,4,1,UA,UA_CODESHARE,19977,UA,5216,OO,20304,OO,N423SW,5216,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12177,1217705,32177,"Hobbs, NM",NM,35,New Mexico,86,True
2021-02-11,American Airlines Inc.,MEM,CLT,700,511.0,2021,2,11,4,AA,AA,19805,AA,2096,AA,19805,AA,N974UY,2096,13244,1324402,33244,"Memphis, TN",TN,47,Tennessee,54,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,True
2020-03-01,Southwest Airlines Co.,PHX,DEN,2250,602.0,2020,3,1,7,WN,WN,19393,WN,3054,WN,19393,WN,N421LV,3054,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,False
2021-09-13,United Air Lines Inc.,EWR,BNA,1025,748.0,2021,9,13,1,UA,UA,19977,UA,639,UA,19977,UA,N17752,639,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,True
2020-02-11,JetBlue Airways,RDU,BOS,2047,612.0,2020,2,11,2,B6,B6,20409,B6,2784,B6,20409,B6,N197JB,2784,14492,1449202,34492,"Raleigh/Durham, NC",NC,37,North Carolina,36,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,False
2019-05-24,SkyWest Airlines Inc.,LGA,CHS,1940,641.0,2019,5,24,5,DL,DL_CODESHARE,19790,DL,3720,OO,20304,OO,N291SY,3720,12953,1295304,31703,"New York, NY",NY,36,New York,22,10994,1099402,30994,"Charleston, SC",SC,45,South Carolina,37,True
2020-07-10,Southwest Airlines Co.,TUS,LAS,915,365.0,2020,7,10,5,WN,WN,19393,WN,2078,WN,19393,WN,N960WN,2078,15376,1537604,30436,"Tucson, AZ",AZ,4,Arizona,81,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,False
2020-06-13,American Airlines Inc.,SFO,CLT,700,2296.0,2020,6,13,6,AA,AA,19805,AA,1956,AA,19805,AA,N507AY,1956,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,False
2020-08-06,Southwest Airlines Co.,SNA,OAK,1935,371.0,2020,8,6,4,WN,WN,19393,WN,1588,WN,19393,WN,N423WN,1588,14908,1490803,32575,"Santa Ana, CA",CA,6,California,91,13796,1379608,32457,"Oakland, CA",CA,6,California,91,False
2019-03-22,SkyWest Airlines Inc.,LAX,JAC,1315,784.0,2019,3,22,5,UA,UA_CODESHARE,19977,UA,5460,OO,20304,OO,N213SY,5460,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,12441,1244102,32441,"Jackson, WY",WY,56,Wyoming,88,True
2021-12-23,Envoy Air,FWA,ORD,1400,157.0,2021,12,23,4,AA,AA_CODESHARE,19805,AA,3660,MQ,20398,MQ,N663AR,3660,11823,1182304,31823,"Fort Wayne, IN",IN,18,Indiana,42,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,False
2019-08-05,Southwest Airlines Co.,BNA,STL,2020,272.0,2019,8,5,1,WN,WN,19393,WN,345,WN,19393,WN,N267WN,345,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,True
2019-08-28,Comair Inc.,CLT,SAV,1311,213.0,2019,8,28,3,AA,AA_CODESHARE,19805,AA,5251,OH,20397,OH,N570NN,5251,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,14685,1468502,34685,"Savannah, GA",GA,13,Georgia,34,False
2021-06-10,Capital Cargo International,SYR,PHL,1315,228.0,2021,6,10,4,AA,AA_CODESHARE,19805,AA,6268,PT,20427,PT,N602AE,6268,15096,1509602,35096,"Syracuse, NY",NY,36,New York,22,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,False
